id_curso|nome_curso|categoria_curada|justificativa|carga_horaria|publico_alvo|conteudo_programatico
11|Introdução à Libras|Cidadania Digital|Curso iniciante sobre comunicação inclusiva, complementa conhecimentos de cidadania digital e acessibilidade|60|Agentes públicos e cidadãos interessados em comunicação com pessoas Surdas|Surdez e sociedade; Prática de Libras: alfabeto, expressões faciais, família, calendário, números, casas, transportes, animais, profissões
41|eMAG Conteudista|Cidadania Digital|Curso básico sobre acessibilidade digital, essencial para cidadania digital inclusiva|20|Servidores que trabalham com conteúdos digitais|Acessibilidade na Web; Tipos de deficiências; Diretrizes de acessibilidade; Desenvolvimento de conteúdos acessíveis
73|Gestão da Informação e Documentação|Cidadania Digital|Conceitos básicos de gestão documental, fundamental para organização pessoal e cidadania|20|Servidores que atuam em procedimentos arquivísticos|Conceitos básicos; Características dos documentos; Ciclo de vida dos documentos; Gerenciamento de documentos
119|Gestão em Ouvidoria|Cidadania Digital|Curso sobre participação cidadã e direitos, complementa conhecimentos de cidadania|20|Agentes que desenvolvem atividades em ouvidorias|Fundamentos da Ouvidoria Pública; Atendimento ao cidadão; Ferramentas gerenciais e tecnológicas
120|Resolução de Conflitos Aplicada ao Contexto das Ouvidorias|Cidadania Digital|Técnicas de mediação e resolução de conflitos, útil para cidadania ativa|20|Agentes públicos que integrem ouvidorias|Resolução de conflitos na ouvidoria; Técnicas de resolução pacífica de conflitos
125|Gestão Tributária Municipal|Finanças|Curso sobre tributos municipais, complementa educação financeira pessoal|30|Gestores e técnicos da administração municipal|Sistema e Princípios Tributários; Obrigação e Legislação Tributária; Crédito Tributário; Gestão Tributária Municipal
149|Promoção dos direitos da população em situação de rua|Cidadania Digital|Curso sobre direitos humanos e inclusão social, essencial para cidadania|30|Pessoas que atuem na garantia de direitos|Política Nacional para População em Situação de Rua; Direitos Fundamentais; Dignidade e Inclusão
249|Me Poupe! Invista com Nathalia Arcuri|Finanças|Curso iniciante de educação financeira com linguagem acessível|20|Servidores públicos e interessados em educação financeira|Motivação para poupar; Organização financeira; Casa própria; Investimentos eficazes
251|Formação de Multiplicadores da Série "Eu e Meu Dinheiro"|Finanças|Curso básico de finanças pessoais para multiplicadores|10|Usuários do sistema financeiro interessados em multiplicar conhecimentos|Necessidades e desejos; Orçamento familiar; Uso de crédito; Importância de poupar; Riscos e imprevistos
275|Acessibilidade em espaços de uso público no Brasil|Cidadania Digital|Curso sobre inclusão e acessibilidade, fundamental para cidadania inclusiva|20|Profissionais responsáveis pela promoção da acessibilidade|Lutas por inclusão das pessoas com deficiência; Espaços humanos e deficiências; Acessibilidade e atuação profissional
273|Acessibilidade em espaços urbanos|Cidadania Digital|Curso sobre planejamento urbano inclusivo, complementa cidadania digital|16|Corpo técnico e profissionais responsáveis por projetos urbanos|Cidades são para Todos; Mobilidade Urbana e Acessibilidade; Sistemas de Transporte; Áreas Livres Públicas
378|Segurança da Informação no contexto da transformação digital|Segurança Digital|Curso básico sobre segurança digital, essencial para proteção online|20|Gestores e Analistas em TI ou servidores públicos|Segurança da Informação e Transformação Digital; Política de Segurança; Segurança de Dados; Gestão de Riscos
624|Garantia de Direitos e Atenção à Pessoa Idosa|Cidadania Digital|Curso sobre direitos dos idosos e tecnologias, complementa cidadania digital|30|Pessoas que atuem na garantia de direitos das pessoas idosas|A pessoa idosa como sujeito de direitos; Fortalecimento de vínculos; Redes de proteção; Uso das tecnologias de informação
836|Assédio Moral: O que saber e fazer|Confiança Online|Curso sobre prevenção de assédio, importante para segurança em ambientes digitais|12|Servidores da administração pública e comunidade em geral|Assédio Moral no Trabalho; O que é Assédio Moral; Legislação e Regulamentação; Como o Assédio Moral ocorre
875|Serviços públicos e defesa do usuário|Cidadania Digital|Curso sobre direitos dos usuários de serviços públicos, essencial para cidadania|20|Ouvidores e colaboradores de ouvidorias|Serviços Públicos e Código de Defesa; Direitos dos usuários; Ouvidorias como mecanismos de tutela; Transparência
912|Atuação do Conselho de Administração em Cooperativas de Crédito|Finanças|Curso sobre cooperativismo financeiro, complementa educação financeira|4|Conselheiros de administração ou associados de Cooperativas de Crédito|Atuação do Conselho; Fontes de informações; Boas práticas de governança; Capacitação de Conselheiros
1160|Gerenciar Dados com o Microsoft 365|Serviços Digitais|Curso prático sobre ferramentas digitais básicas, essencial para serviços digitais|4|Servidores públicos e cidadãos interessados|Introdução ao Forms; Power Automate; Análise de dados no Excel; Power BI Desktop
1131|Como trabalhar e colaborar On-line|Serviços Digitais|Curso básico sobre trabalho online e colaboração digital|6|Servidores públicos e cidadãos interessados|Habilidades Digitais; Acesso a informação Online; Colaboração usando Outlook; Word; OneDrive; Chat e videochamadas
1130|Como Trabalhar com Computadores e Dispositivos Móveis|Serviços Digitais|Curso básico sobre uso de computadores e dispositivos, fundamental para inclusão digital|6|Servidores públicos e qualquer cidadão interessado|Noções básicas sobre computadores; Sistemas operacionais; Aplicativos; Segurança; Microsoft Office básico
